CustomerNum,CustomerName,Company,Street,City,State,ZipCode,Phone
101,Mr. Walter Reed,,150 Hall Road,Brooklyn,NY,03038,(603) 124-1824
102,Mr. Toby Stein,,431 North Phillips Road,Brooklyn,NY,03038,(603) 332-4847
103,Mr. Donald Bench,,409 King Street,Brooklyn,NY,03053,(603) 336-2046
104,Ms. Joan Hoffman,,350 Garfield Avenue,Westchester,NY,03036,(603) 461-8899
105,Ms. Barbara Pasaco,Pasaco Premiums,230 South Phillips Road,Brooklyn,NY,03038,(603) 332-9870
106,Mr. Herb Merritt,Herb's Heaven,130 Willow Street,Stamford,CT,03036,(603) 336-1114
107,Ms. Doris Reaume,Green Glory,82 Seneca Street,Flushing,NY,01913,(508) 643-8821
108,Mr. Douglas Viereck,,40 West 41st Street,Brooklyn,NY,03038,(603) 816-2456
110,Mr. Gilbert Scholten,,391 Hawthorne Avenue,Bedford,NY,03110,(603) 332-2681
111,Ms. Julie Pfeiffer,"Petals and Baskets, Inc.",6 Bayberry Pointe Drive,Brooklyn,NY,03038,(603) 331-7388
112,Ms. Jennifer Lewis,,915 South Creek Drive,Hudson,NY,03051,(603) 755-1736
114,Ms. Gretchen Fletcher,,28 East 10 Street,Brooklyn,NY,03053,(603) 336-0900
115,Mr. Matthew Lim,Freshwater Gifts,10 Sycamore Street,Bedford,NY,03110,(603) 762-9144
117,Mr. Gregory Olsen,Olsen's General Store,192 Bridge Street,Brooklyn,NY,03053,(603) 336-4192
122,Ms. Shirley Woodruff,Rockingham Acres,84  E. Fletcher Road,Queens,NY,01827,(508) 966-8651
123,Mr. Wayne Bouwman,,400 Salmon Street,Queens,NY,01827,(508) 966-9827
124,Mr. Ken Hodge,Ken's House,3 Gateway Boulevard,Hampton,NY,03842,(603) 361-1137
125,Ms. Pam Leonard,P & K Gift Center,50 North Cliff Avenue,Hampton,NY,03842,(603) 339-1264
129,Ms. Michele Yasenak,,95 North Bay Boulevard,Boxford,NY,01921,(508) 111-9148
131,Mr. Curtis Maher,Grapevine  Center,15 Old Bedford Trail,Brooklyn,NY,01810,(508) 895-2041
133,Mr. Ronald Kooienga,,287 Western Avenue,Hartford,CT,02810,(508) 111-3260
142,Ms. Nancy Mills,Mills Gardens,15 Warner Drive,Albany,NY,03079,(603) 336-2333
145,Ms. Shannon Petree,,193 Snow Street D24,Bayside,NY,01876,(508) 575-6731
148,Ms. Dawn Parker,Sundial Florist & Things,109 East Monroe Avenue,Hudson,NY,03051,(603) 334-3980
154,Ms. Betty Shevlin,Betty's B&B,37 Queue Highway,Queens,NY,01827,(508) 966-5364
157,Mr. Donald McPherson,,44 Tower Lane,Bayside,NY,01810,(508) 620-4431
162,Ms. Jean Brooks,,33 Bradford Farms,Stamford,CT,03038,(603) 273-9465
163,Mr. John Rohrs,,13 36th Street,Brooklyn,NY,01876,(508) 792-8040
165,Mr. James Cowan,,11 Marsh Road,Flushing,NY,01463,(508) 679-5681
167,Ms. Deborah Wolfe,,56 Four Mile Road,Queens,NY,01827,(508) 966-7294
170,Mr. Janosfi Petofi,The Purple Petunia,330 West Russell Street,Bayside,NY,03036,(603) 336-9020
171,Mr. Jeffrey Hersha,,28 Canyonside Way,East Hamptown,NY,03826,(603) 888-7778
172,Mr. Carl Seaver,,114 Lexington Parkway,Kew Gardens,NY,01983,(508) 888-7111
175,Ms. Tara Jerentowski,,4 Old Lanterne Road,Flushing,NY,01913,(508) 792-3546
180,Ms. Kelly Smith,,22 Orchard Street,Queens,NY,05469,(802) 835-3387
182,Mr. Ray Suchecki,Countryside Sales,28 Cascade Road,Brooklyn,NY,01810,(508) 643-4635
185,Ms. Rebecca Van Singel,,8 Baldwin Boulevard,Coney Island,NY,01469,(508) 717-9855
188,Ms. Susan Mouw,,78 Hazelnut Street,Flushing,NY,01463,(508) 679-1275
191,Mr. Kurt Rayworth,,70 Goldsmith Street,Montvalle,NJ,05401,(802) 267-9944
192,Mr. Steve Donovan,Wilson Gift Store,13 Oak Lane,Newark,NJ,05495,(802) 486-0422
195,Ms. Mary Dugan,Horizon ,155 Main Street,Montvalle,NJ,05401,(802) 267-8800
196,Ms. Jane Pedicini,Fresh Ideas,42 Ethan Allen Drive,Atlantic City,NJ,05469,(802) 835-1798
198,Mr. Paul Griffin,Griffin's Great Gifts,5 Tenney Circle,Queens,NY,05401,(802) 267-6791
199,Mr. KuMan Ranjan,,17 Davis Road,Atlantic City,NJ,05469,(802) 835-1401
201,Ms. Janice Stapleton,Morning Glories,5 Alpine Lane,Flushing,NY,01885,(508) 111-5545
202,Mr. Joe Markovicz,,214 Edgewood Road,Queens,NY,01983,(508) 889-6003
203,Mr. Paul Jenson,Jenson Junk,701 Bagley Street,Queens,NY,01827,(508) 966-4499
204,Mr. Lee Guazzo,,421 Great Road,Queens,NY,05401,(802) 267-2998
205,Ms. Kim Hajek,,40 Liberty Street,Queens,NY,05495,(802) 486-8772
